Year,State,Population,Violent Crime Total,Murder and Nonnegligent Manslaughter,Rape,Robbery,Aggravated Assault,Property Crime Total,Burglary,Larceny-Theft,Motor Vehicle Theft,Violent Crime Rate,Murder and Nonnegligent Manslaughter Rate,Rape Rate,Robbery Rate,Aggravated Assault Rate,Property Crime Rate,Burglary Rate,Larceny-Theft Rate,Motor Vechicle Theft Rate
"2004","Connecticut","3,498,966","10,113","100","755","4,188","5,070","93,942","15,959","66,770","11,213","289.0","2.9","21.6","119.7","144.9","2,684.9","456.1","1,908.3","320.5"
"2005","Connecticut","3,500,701","9,542","105","712","3,933","4,792","90,270","15,245","64,416","10,609","273.0","3.0","20.3","112.3","136.9","2,579.0","435.5","1,840.0","303.0"
"2006","Connecticut","3,504,809","10,505","137","696","4,460","5,212","90,638","15,583","64,765","10,290","299.7","3.9","19.9","127.3","148.7","2,586.1","444.6","1,847.9","293.6"
"2007","Connecticut","3,502,309","10,547","113","690","4,303","5,441","86,528","15,640","60,937","9,951","301.1","3.2","19.7","122.9","155.4","2,470.6","446.6","1,739.9","284.1"
"2008","Connecticut","3,501,252","10,737","132","680","4,043","5,882","87,210","15,107","63,212","8,891","306.7","3.8","19.4","115.5","168.0","2,490.8","431.5","1,805.4","253.9"
"2009","Connecticut","3,518,288","10,588","106","657","4,001","5,824","82,625","15,172","59,992","7,461","300.9","3.0","18.7","113.7","165.5","2,348.4","431.2","1,705.1","212.1"
"2010","Connecticut","3,575,498","10,083","133","595","3,553","5,802","78,259","15,145","56,413","6,701","282.0","3.7","16.6","99.4","162.3","2,188.8","423.6","1,577.8","187.4"
"2011","Connecticut","3,586,717","9,889","129","689","3,689","5,382","77,205","15,468","55,067","6,670","275.7","3.6","19.2","102.9","150.1","2,152.5","431.3","1,535.3","186.0"
"2012","Connecticut","3,591,765","10,183","117","933","3,709","5,424","77,169","14,787","55,904","6,478","283.5","3.3","26.0","103.3","151.0","2,148.5","411.7","1,556.4","180.4"
"2013","Connecticut","3,599,341","9,439","91","647","3,551","4,906","71,274","12,934","52,099","6,241","262.2","2.5","18.0","98.7","136.3","1,980.2","359.3","1,447.5","173.4"
"2014","Connecticut","3,596,677","8,522","86","571","3,159","4,495","69,070","11,955","51,005","6,110","236.9","2.4","15.9","87.8","125.0","1,920.4","332.4","1,418.1","169.9"
"2001","Delaware","796,599","4,868","23","420","1,156","3,269","27,399","5,144","19,476","2,779","611.1","2.9","52.7","145.1","410.4","3,439.5","645.7","2,444.9","348.9"
"2002","Delaware","805,945","4,836","26","358","1,154","3,298","26,967","5,355","18,555","3,057","600.0","3.2","44.4","143.2","409.2","3,346.0","664.4","2,302.3","379.3"
"2003","Delaware","818,166","5,525","21","370","1,441","3,693","27,943","6,066","18,933","2,944","675.3","2.6","45.2","176.1","451.4","3,415.3","741.4","2,314.1","359.8"
"2004","Delaware","830,069","5,105","28","357","1,343","3,377","27,256","5,669","19,285","2,302","615.0","3.4","43.0","161.8","406.8","3,283.6","683.0","2,323.3","277.3"
"2005","Delaware","841,741","5,332","37","377","1,306","3,612","26,245","5,811","18,085","2,349","633.0","4.4","44.8","155.2","429.1","3,118.0","690.4","2,148.0","279.0"
"2006","Delaware","853,476","5,983","42","417","1,791","3,733","29,670","6,337","20,449","2,884","701.0","4.9","48.9","209.8","437.4","3,476.4","742.5","2,396.0","337.9"
"2007","Delaware","864,764","6,100","39","341","1,763","3,957","29,216","6,420","20,454","2,342","705.4","4.5","39.4","203.9","457.6","3,378.5","742.4","2,365.3","270.8"
"2008","Delaware","873,092","6,187","57","371","1,847","3,912","31,385","6,783","22,045","2,557","708.6","6.5","42.5","211.5","448.1","3,594.7","776.9","2,524.9","292.9"
"2009","Delaware","885,122","5,713","41","395","1,680","3,597","29,685","6,943","20,836","1,906","645.4","4.6","44.6","189.8","406.4","3,353.8","784.4","2,354.0","215.3"
"2010","Delaware","899,792","5,608","51","326","1,839","3,392","31,078","7,550","21,593","1,935","623.3","5.7","36.2","204.4","377.0","3,453.9","839.1","2,399.8","215.0"
"2011","Delaware","908,137","5,144","48","307","1,558","3,231","31,163","7,617","22,001","1,545","566.4","5.3","33.8","171.6","355.8","3,431.5","838.8","2,422.7","170.1"
"2012","Delaware","917,053","5,048","56","249","1,498","3,245","30,707","7,389","21,880","1,438","550.5","6.1","27.2","163.3","353.9","3,348.4","805.7","2,385.9","156.8"
"2013","Delaware","925,240","4,633","41","278","1,233","2,960","29,001","6,299","21,347","1,355","500.7","4.4","30.0","133.3","319.9","3,134.4","680.8","2,307.2","146.4"
"2014","Delaware","935,614","4,576","54","249","1,269","2,867","27,900","5,768","20,865","1,267","489.1","5.8","26.6","135.6","306.4","2,982.0","616.5","2,230.1","135.4"
"2001","Florida","16,373,330","130,713","874","6,641","32,867","90,331","782,517","176,052","516,548","89,917","798.3","5.3","40.6","200.7","551.7","4,779.2","1,075.2","3,154.8","549.2"
"2002","Florida","16,691,701","128,721","911","6,753","32,581","88,476","777,236","177,242","511,478","88,516","771.2","5.5","40.5","195.2","530.1","4,656.4","1,061.9","3,064.3","530.3"
"2003","Florida","16,999,181","124,280","924","6,727","31,523","85,106","757,696","170,644","505,489","81,563","731.1","5.4","39.6","185.4","500.6","4,457.3","1,003.8","2,973.6","479.8"
"2004","Florida","17,385,430","123,754","946","6,612","29,997","86,199","727,141","166,332","482,484","78,325","711.8","5.4","38.0","172.5","495.8","4,182.5","956.7","2,775.2","450.5"
"2005","Florida","17,768,191","125,957","883","6,592","30,141","88,341","712,998","164,783","472,912","75,303","709.0","5.0","37.1","169.6","497.2","4,013.0","927.4","2,662.0","424.0"
"2006","Florida","18,089,888","129,602","1,129","6,475","34,147","87,851","721,101","170,873","473,774","76,454","716.4","6.2","35.8","188.8","485.6","3,986.2","944.6","2,619.0","422.6"
"2007","Florida","18,251,243","131,878","1,202","6,149","38,155","86,372","746,249","181,836","490,783","73,630","722.6","6.6","33.7","209.1","473.2","4,088.8","996.3","2,689.0","403.4"
"2008","Florida","18,328,340","126,256","1,168","5,972","36,268","82,848","758,889","188,472","506,902","63,515","688.9","6.4","32.6","197.9","452.0","4,140.5","1,028.3","2,765.7","346.5"
"2009","Florida","18,537,969","113,541","1,017","5,501","30,911","76,112","712,010","181,884","479,867","50,259","612.5","5.5","29.7","166.7","410.6","3,840.8","981.1","2,588.6","271.1"
"2010","Florida","18,838,613","101,969","987","5,373","26,086","69,523","669,035","169,119","458,454","41,462","541.3","5.2","28.5","138.5","369.0","3,551.4","897.7","2,433.6","220.1"
"2011","Florida","19,082,262","98,198","984","5,273","25,622","66,319","671,200","170,171","461,408","39,621","514.6","5.2","27.6","134.3","347.5","3,517.4","891.8","2,418.0","207.6"
"2012","Florida","19,320,749","94,087","1,009","5,260","23,889","63,929","632,988","153,563","442,095","37,330","487.0","5.2","27.2","123.6","330.9","3,276.2","794.8","2,288.2","193.2"
"2013","Florida","19,600,311","91,993","972","4,765","23,200","61,054","607,170","138,915","433,344","34,911","469.3","5.0","24.3","118.4","311.5","3,097.8","708.7","2,210.9","178.1"
"2014","Florida","19,893,297","107,521","1,149","6,051","24,914","72,895","679,446","143,220","493,647","42,579","540.5","5.8","30.4","125.2","366.4","3,415.5","719.9","2,481.5","214.0"
"2001","Georgia","8,405,677","41,671","598","2,180","14,402","24,491","347,872","71,799","238,484","37,589","495.7","7.1","25.9","171.3","291.4","4,138.5","854.2","2,837.2","447.2"
"2002","Georgia","8,544,005","39,271","606","2,108","13,432","23,125","346,559","73,932","234,591","38,036","459.6","7.1","24.7","157.2","270.7","4,056.2","865.3","2,745.7","445.2"
"2003","Georgia","8,676,460","39,435","657","2,234","14,043","22,501","369,589","79,001","247,196","43,392","454.5","7.6","25.7","161.9","259.3","4,259.7","910.5","2,849.0","500.1"
"2004","Georgia","8,918,129","40,217","613","2,387","13,656","23,561","376,656","82,992","249,426","44,238","451.0","6.9","26.8","153.1","264.2","4,223.5","930.6","2,796.8","496.0"
"2005","Georgia","9,132,553","40,725","564","2,143","14,041","23,977","378,534","84,463","249,594","44,477","446.0","6.2","23.5","153.7","262.5","4,145.0","924.9","2,733.0","487.0"
"2006","Georgia","9,363,941","44,754","605","2,169","15,511","26,469","362,712","85,140","234,445","43,127","477.9","6.5","23.2","165.6","282.7","3,873.5","909.2","2,503.7","460.6"
"2007","Georgia","9,544,750","46,917","720","2,198","17,291","26,708","371,248","90,294","238,436","42,518","491.5","7.5","23.0","181.2","279.8","3,889.6","946.0","2,498.1","445.5"
"2008","Georgia","9,685,744","47,353","640","2,334","17,808","26,571","387,917","100,564","247,709","39,644","488.9","6.6","24.1","183.9","274.3","4,005.0","1,038.3","2,557.5","409.3"
"2009","Georgia","9,829,211","42,073","566","2,323","14,631","24,553","360,985","98,606","229,216","33,163","428.0","5.8","23.6","148.9","249.8","3,672.6","1,003.2","2,332.0","337.4"
"2010","Georgia","9,712,157","39,068","555","2,107","12,372","24,034","353,449","96,947","226,161","30,341","402.3","5.7","21.7","127.4","247.5","3,639.2","998.2","2,328.6","312.4"
